Project ID	Project Name	Project Address	Total Units	Affordable Units	Affordable Beds	Project Sponsor	City Analysis Neighborhood	Supervisor District	Project Location	Latitude	Longitude
1993-008	Plaza Ramona Apartments	"250 McAllister St, San Francisco, CA 94102"	63	62	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7808838, -122.416275)"	37.7808838	 -122.416275)
1993-009	Altamont Hotel	"3048 16th St, San Francisco, CA 94103"	89	88	0	Mission Housing Development Corporation	Mission	9	"(37.7652321, -122.4206772)"	37.7652321	 -122.4206772
1993-010	Richmond Hills Family Center	"6324 Geary Blvd, San Francisco, CA 94121"	20	0	20	Mercy Housing California	Outer Richmond	1	"(37.7802811, -122.4873886)"	37.7802811	 -122.4873886
1993-011	Leland House	"141 Leland Ave, San Francisco, CA 94134"	45	44	0	Mercy Housing California	Visitacion Valley	10	"(37.7119751, -122.4063568)"	37.7119751	 -122.4063568
1993-012	Gabreila Apartments	"583-587 Natoma St, San Francisco, CA 94103"	29	29	0	Housing Development & Neighborhood Preservation Corporation	South of Market	6	"(37.7786293, -122.4093857)"	37.7786293	 -122.4093857
1993-013	A WOMANS PLACE	Confidential	11	0	54	"Community Awareness & Treatment Services, Inc."	Confidential	0	"(0.0, 0.0)"	"0.0, 0.0)"	
1993-014	1761-1765 Page	"1761 Page St, San Francisco, CA 94117"	13	13	0	Baker Places	Haight Ashbury	5	"(37.7703285, -122.4496613)"	37.7703285	 -122.4496613
1993-015	Precita House	"416 Precita Ave, San Francisco, CA 94110"	5	5	0	Bernal Heights Neighborhood Center	Bernal Heights	9	"(37.7467003, -122.4111252)"	37.7467003	 -122.4111252
1994-003	Juan Pifarre Plaza	"3101 21st St, San Francisco, CA 94110"	30	29	0	Mission Housing Development Corporation	Mission	9	"(37.7568779, -122.4171448)"	37.7568779	 -122.4171448
1994-004	Fannie Lou Hamer House	"1221 Cortland Ave, San Francisco, CA 94110"	2	2	0	Bernal Heights Neighborhood Center	Bernal Heights	9	"(37.7398567, -122.411972)"	37.7398567	 -122.411972)
